name,gender,count
Emma,F,18688
Olivia,F,17921
Ava,F,14924
Isabella,F,14464
Sophia,F,13928
Charlotte,F,12940
Mia,F,12642
Amelia,F,12301
Harper,F,10582
Evelyn,F,10376
Abigail,F,9796
Emily,F,8656
Elizabeth,F,8513
Mila,F,8126
Ella,F,8055
Avery,F,8053
Sofia,F,7621
Camila,F,7473
Aria,F,7394
Scarlett,F,7182
Victoria,F,7089
Madison,F,7036
Luna,F,6897
Grace,F,6724
Chloe,F,6626
Penelope,F,6474
Layla,F,6468
Riley,F,5976
Zoey,F,5899
Nora,F,5799
Lily,F,5706
Eleanor,F,5694
Hannah,F,5629
Lillian,F,5534
Addison,F,5203
Aubrey,F,5190
Ellie,F,5190
Stella,F,5121
Natalie,F,5095
Zoe,F,5062
Leah,F,4995
Hazel,F,4916
Violet,F,4794
Aurora,F,4785
Savannah,F,4745
Audrey,F,4662
Brooklyn,F,4611
Bella,F,4518
Claire,F,4379
Skylar,F,4378
Lucy,F,4354
Paisley,F,4333
Everly,F,4313
Anna,F,4145
Caroline,F,4136
Nova,F,4124
Genesis,F,4068
Emilia,F,4020
Kennedy,F,3924
Samantha,F,3897
Maya,F,3882
Willow,F,3881
Kinsley,F,3856
Naomi,F,3821
Aaliyah,F,3811
Elena,F,3758
Sarah,F,3734
Ariana,F,3715
Allison,F,3678
Gabriella,F,3677
Alice,F,3643
Madelyn,F,3634
Cora,F,3574
Ruby,F,3552
Eva,F,3542
Serenity,F,3517
Autumn,F,3471
Adeline,F,3463
Hailey,F,3449
Gianna,F,3429
Valentina,F,3416
Isla,F,3393
Eliana,F,3373
Quinn,F,3369
Nevaeh,F,3359
Ivy,F,3256
Sadie,F,3247
Piper,F,3202
Lydia,F,3184
Alexa,F,3053
Josephine,F,3023
Emery,F,2993
Julia,F,2989
Delilah,F,2982
Arianna,F,2956
Vivian,F,2956
Kaylee,F,2938
Sophie,F,2929
Brielle,F,2919
Madeline,F,2897
